nest,nest_letter,forest,forest_binary,pit,pit_letter,initiation_clutch,sample_ID,sample,year,river,period,outcome,s_f,dect_days,type,sample_time_hours,sample_elapsed_min,tol,mass,smi,testosterone,testosterone_limit,testosterone_nada,dht,dht_limit,dht_nada,cortisol,cortisol_limit,cortisol_detected,cortisol_nada,corticosterone,corticosterone_limit,corticosterone_nada,leeches,leeches_binomial,run,run_year
503_20,BV,60,low,563213,BD,341,124,124_3,2020,n,initiation,success,1,3,t0,10.71,3.17,45.2,650,482.13,0.8181,0,FALSE,5.7888,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
503_20,BV,60,low,563213,BD,341,190,190_3,2020,n,initiation,success,1,3,t60,11.68,61.58,45.2,650,482.13,1.1358,0,FALSE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
503_20,BV,60,low,563213,BD,341,67,67_3,2020,n,one month,success,1,31,t0,10.18,2.67,44.8,590,449.7,0.2,1,TRUE,1,1,TRUE,2.0389,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
503_20,BV,60,low,563213,BD,341,82,82_3,2020,n,one month,success,1,31,t60,11.16,61.35,44.8,590,449.7,0.2,1,TRUE,1,1,TRUE,4.7648,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
503_21,BW,60,low,563213,BD,237,140,140_3,2021,n,one month,success,1,30,t0,13.09,3.13,45.7,600,430.29,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
503_21,BW,60,low,563213,BD,237,226,226_3,2021,n,initiation,success,1,1,t60,11.2,60.25,45.9,640,452.88,54.1834,0,FALSE,18.2852,0,FALSE,5.143,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
503_21,BW,60,low,563213,BD,237,30,30_3,2021,n,one month,success,1,30,t60,14.07,62.1,45.7,600,430.29,0.2,1,TRUE,1,1,TRUE,11.5714,0,1,FALSE,2.069,0,FALSE,0,0,3,2022
503_21,BW,60,low,563213,BD,237,40,40_3,2021,n,initiation,success,1,1,t0,10.25,3.25,45.9,640,452.88,45.083,0,FALSE,19.7801,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
53_15,BX,61.9,low,781993,AR,579,188,188_3,2015,s,initiation,cannibal,0,0,t0,10.7,1.45,42,440,408.69,2.293,0,FALSE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
53_15,BX,61.9,low,781993,AR,579,211,211_3,2015,s,initiation,cannibal,0,0,t60,11.67,59.3,42,440,408.69,2.5317,0,FALSE,3.3106,0,FALSE,2.3577,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
53_15,BX,61.9,low,781993,AR,579,42,42_3,2015,s,one month,cannibal,0,43,t0,10.8,1.9,43.6,560,463.86,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
53_15,BX,61.9,low,781993,AR,579,46,46_3,2015,s,one month,cannibal,0,43,t60,11.77,60.33,43.6,560,463.86,0.2,1,TRUE,1,1,TRUE,4.8064,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
538_19,BY,59.5,low,563639,BE,580,139,139_3,2019,n,one month,cannibal,0,29,t60,13.79,59.47,44.3,555,437.82,0.2,1,TRUE,1,1,TRUE,11.1424,0,1,FALSE,4.3594,0,FALSE,0,0,3,2022
538_19,BY,59.5,low,563639,BE,580,169,169_3,2019,n,initiation,cannibal,0,1,t60,11.26,59.97,44.2,440,349.51,6.9832,0,FALSE,7.906,0,FALSE,5.8492,0,1,FALSE,1.6596,0,FALSE,0,0,3,2022
538_19,BY,59.5,low,563639,BE,580,186,186_3,2019,n,one month,cannibal,0,29,t0,12.82,1.67,44.3,555,437.82,21.2457,0,FALSE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
538_19,BY,59.5,low,563639,BE,580,73,73_3,2019,n,initiation,cannibal,0,1,t0,10.28,1.33,44.2,440,349.51,7.3506,0,FALSE,6.4366,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
543_19,BZ,59.5,low,567154,BF,223,136,136_3,2019,n,one month,success,1,30,t60,14.28,61.73,48.1,590,361.71,0.2,1,TRUE,1,1,TRUE,9.835,0,1,FALSE,2.4077,0,FALSE,0,0,3,2022
543_19,BZ,59.5,low,567154,BF,223,173,173_3,2019,n,one month,success,1,30,t0,13.28,1.43,48.1,590,361.71,0.2,1,TRUE,1,1,TRUE,1.8468,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
543_19,BZ,59.5,low,567154,BF,223,216,216_3,2019,n,initiation,success,1,1,t0,14.78,2.55,37.1,315,427.86,18.3785,0,FALSE,8.7949,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
543_19,BZ,59.5,low,567154,BF,223,71,71_3,2019,n,initiation,success,1,1,t60,15.76,61.32,37.1,315,427.86,14.1334,0,FALSE,10.3008,0,FALSE,3.1246,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
543_20,CA,59.5,low,567154,BF,319,204,204_3,2020,n,one month,success,1,29,t60,13.11,60.2,47.4,610,391.15,0.2,1,TRUE,1,1,TRUE,4.2304,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
543_21,CB,59.5,low,567154,BF,620,103,103_3,2021,n,initiation,success,1,1,t0,12.34,1.23,47.7,640,402.53,20.4172,0,FALSE,9.1487,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
543_21,CB,59.5,low,567154,BF,620,160,160_3,2021,n,initiation,success,1,1,t60,13.34,61.03,47.7,640,402.53,19.5433,0,FALSE,10.3322,0,FALSE,2.8538,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
543_21,CB,59.5,low,567154,BF,620,29,29_3,2021,n,one month,success,1,29,t0,12.79,2.93,48,635,391.79,0.2,1,TRUE,1,1,TRUE,1.3025,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
543_21,CB,59.5,low,567154,BF,620,44,44_3,2021,n,one month,success,1,29,t60,13.81,64.57,48,635,391.79,0.2,1,TRUE,1,1,TRUE,9.3294,0,1,FALSE,3.3541,0,FALSE,0,0,3,2022
547_21,CC,59.5,low,565655,BG,169,111,111_3,2021,n,one month,cannibal,0,27,t0,11.01,3.03,55.3,1040,415.87,0.2,1,TRUE,1,1,TRUE,2.1748,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
547_21,CC,59.5,low,565655,BG,169,137,137_3,2021,n,initiation,cannibal,0,1,t60,10.59,60.62,55.8,920,357.88,16.9318,0,FALSE,11.2288,0,FALSE,1.9726,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
547_21,CC,59.5,low,565655,BG,169,222,222_3,2021,n,initiation,cannibal,0,1,t0,9.62,2.58,55.8,920,357.88,19.9039,0,FALSE,8.821,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
558_20,CD,59.5,low,557588,BH,521,2,2_3,2020,n,initiation,success,1,3,t0,13.74,3,42.9,480,417.8,5.2091,0,FALSE,4.3529,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
558_20,CD,59.5,low,557588,BH,521,213,213_3,2020,n,one month,success,1,31,t0,12.56,2.07,42.5,460,412.05,0.5552,0,FALSE,1,1,TRUE,1.6661,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
558_20,CD,59.5,low,557588,BH,521,24,24_3,2020,n,initiation,success,1,3,t60,14.71,61.3,42.9,480,417.8,8.6087,0,FALSE,5.4646,0,FALSE,3.7311,0,1,FALSE,4.0058,0,FALSE,0,0,3,2022
558_20,CD,59.5,low,557588,BH,521,41,41_3,2020,n,one month,success,1,31,t60,13.55,61.3,42.5,460,412.05,0.4397,0,FALSE,1,1,TRUE,7.1296,0,1,FALSE,3.8572,0,FALSE,0,0,3,2022
558_21,CE,59.5,low,567171,BI,307,109,109_3,2021,n,one month,success,1,27,t60,11.58,61.68,47.8,700,437.46,0.2,1,TRUE,1,1,TRUE,9.736,0,1,FALSE,4.5236,0,FALSE,0,0,3,2022
558_21,CE,59.5,low,567171,BI,307,116,116_3,2021,n,initiation,success,1,1,t0,9.94,2.22,47.2,720,467.71,5.9869,0,FALSE,3.2124,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
558_21,CE,59.5,low,567171,BI,307,167,167_3,2021,n,one month,success,1,27,t0,10.58,1.73,47.8,700,437.46,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
558_21,CE,59.5,low,567171,BI,307,23,23_3,2021,n,initiation,success,1,1,t60,10.92,60.93,47.2,720,467.71,5.3726,0,FALSE,4.4909,0,FALSE,8.484,0,1,FALSE,1.8257,0,FALSE,0,0,3,2022
602_20,CF,55.2,low,563309,BJ,612,138,138_3,2020,m,one month,cannibal,0,28,t0,10.95,1.3,51.1,750,382.01,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
602_20,CF,55.2,low,563309,BJ,612,225,225_3,2020,m,one month,cannibal,0,28,t60,11.98,63.38,51.1,750,382.01,0.2497,0,FALSE,1,1,TRUE,4.8666,0,1,FALSE,1.4518,0,FALSE,0,0,3,2022
602_20,CF,55.2,low,563309,BJ,612,57,57_3,2020,m,initiation,cannibal,0,2,t0,11.04,1.75,50.5,700,369.68,32.7655,0,FALSE,13.7484,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
71_17,CG,67.9,high,855750,BK,257,8,8,2017,s,one month,success,1,31,t60,12.25,57.7,47.8,610,381.21,0.51,0,FALSE,1,1,TRUE,9.1659,0,1,FALSE,1.8445,0,FALSE,0,0,1,2019
71_17,CG,67.9,high,855750,BK,257,48,48,2017,s,initiation,success,1,2,t60,12.16,61.33,48.7,650,383.65,6.31,0,FALSE,7.2578,0,FALSE,4.6598,0,1,FALSE,0.8,1,TRUE,0,0,1,2019
71_17,CG,67.9,high,855750,BK,257,73,73,2017,s,initiation,success,1,2,t0,11.14,2.67,48.7,650,383.65,5.74,0,FALSE,7.1755,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,1,2019
71_17,CG,67.9,high,855750,BK,257,371,371,2017,s,one month,success,1,31,t0,11.33,2.28,47.8,610,381.21,0.33,0,FALSE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,2,2019
71_18,CH,67.9,high,855750,BK,269,28,28,2018,s,initiation,success,1,1,t0,11.89,1.8,47.3,605,390.46,32.76,0,FALSE,13.6723,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,3,1,1,2019
71_18,CH,67.9,high,855750,BK,269,41,41,2018,s,one month,success,1,29,t0,14.25,1.38,47.5,645,410.93,0.21,0,FALSE,1,1,TRUE,1.067,0,1,FALSE,0.8,1,TRUE,1,1,1,2019
71_18,CH,67.9,high,855750,BK,269,364,364,2018,s,initiation,success,1,1,t60,12.97,64.87,47.3,605,390.46,31.21,0,FALSE,21.7876,0,FALSE,9.7224,0,1,FALSE,0.8,1,TRUE,3,1,2,2019
71_18,CH,67.9,high,855750,BK,269,393,393,2018,s,one month,success,1,29,t60,15.25,61.23,47.5,645,410.93,0.26,0,FALSE,1,1,TRUE,13.4208,0,1,FALSE,5.3266,0,FALSE,1,1,2,2019
74_21,CI,67.9,high,557546,BL,291,10,10_3,2021,s,initiation,cannibal,0,1,t0,12.99,0.75,49.5,710,398.66,32.01,0,FALSE,17.6128,0,FALSE,0.8,1,0,TRUE,1.3199,0,FALSE,3,1,3,2022
74_21,CI,67.9,high,557546,BL,291,192,192_3,2021,s,one month,cannibal,0,33,t0,13.1,1.47,50.5,905,477.95,0.32,0,FALSE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
74_21,CI,67.9,high,557546,BL,291,210,210_3,2021,s,one month,cannibal,0,33,t60,14.09,60.37,50.5,905,477.95,0.2,1,TRUE,1,1,TRUE,5.7242,0,1,FALSE,0.9673,0,FALSE,0,0,3,2022
74_21,CI,67.9,high,557546,BL,291,28,28_3,2021,s,initiation,cannibal,0,1,t60,13.99,60.57,49.5,710,398.66,32,0,FALSE,22.6108,0,FALSE,1.6541,0,1,FALSE,1.9966,0,FALSE,3,1,3,2022
8_13,CJ,64.3,high,974423,BM,325,153,153,2013,s,initiation,success,1,0,t0,12.08,2.5,38,345,435.43,28.83,0,FALSE,26.4003,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,3,1,2,2019
8_13,CJ,64.3,high,974423,BM,325,236,236,2013,s,one month,success,1,26,t0,14.06,2.1,37.9,325,413.51,0.27,0,FALSE,1,1,TRUE,1.3673,0,1,FALSE,0.8,1,TRUE,1,1,1,2019
96_15,CK,67.9,high,985984,BN,195,215,215,2015,s,initiation,success,1,0,t60,17.79,63.53,44.9,440,333.09,38.57,0,FALSE,18.4507,0,FALSE,5.0605,0,1,FALSE,2.0479,0,FALSE,0,0,1,2019
96_15,CK,67.9,high,985984,BN,195,257,257,2015,s,initiation,success,1,0,t0,16.73,2.62,44.9,440,333.09,38.61,0,FALSE,17.4814,0,FALSE,1.4557,0,1,FALSE,0.8,1,TRUE,0,0,1,2019
96_18,CL,67.9,high,967858,BO,234,30,30,2018,s,one month,success,1,29,t60,13.05,61,34,240,425.88,0.38,0,FALSE,1,1,TRUE,8.2947,0,1,FALSE,1.8998,0,FALSE,0,0,1,2019
96_18,CL,67.9,high,967858,BO,234,128,128,2018,s,initiation,success,1,1,t0,10.35,2.82,34.8,220,363.54,30.11,0,FALSE,10.8147,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,1,2019
96_18,CL,67.9,high,967858,BO,234,231,231,2018,s,initiation,success,1,1,t60,11.39,62.23,34.8,220,363.54,32.71,0,FALSE,18.3154,0,FALSE,4.2221,0,1,FALSE,0.8,1,TRUE,0,0,1,2019
96_18,CL,67.9,high,967858,BO,234,328,328,2018,s,one month,success,1,29,t0,12.07,1.77,34,240,425.88,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,2,2019
CB1_21,CM,64.3,high,51099,BP,168,104,104_3,2021,s,one month,cannibal,0,35,t0,13.65,1.35,49.7,960,532.41,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,2,1,3,2022
CB1_21,CM,64.3,high,51099,BP,168,232,232_3,2021,s,one month,cannibal,0,35,t60,14.65,61.37,49.7,960,532.41,0.2,1,TRUE,1,1,TRUE,2.8383,0,1,FALSE,0.8,1,TRUE,2,1,3,2022
CB1_21,CM,64.3,high,51099,BP,168,49,49_3,2021,s,initiation,cannibal,0,1,t0,11.27,2.82,49.8,850,468.51,18.28,0,FALSE,4.2147,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,20,1,3,2022
CB1_21,CM,64.3,high,51099,BP,168,66,66_3,2021,s,initiation,cannibal,0,1,t60,12.25,62.03,49.8,850,468.51,15.43,0,FALSE,5.0475,0,FALSE,4.4676,0,1,FALSE,1.3331,0,FALSE,20,1,3,2022
CB341_21,CN,67.8,high,914031,BQ,634,161,161_3,2021,s,one month,cannibal,0,32,t60,14.64,60.98,47.6,795,503.25,0.2,1,TRUE,1,1,TRUE,11.9539,0,1,FALSE,2.0896,0,FALSE,0,0,3,2022
CB341_21,CN,67.8,high,914031,BQ,634,55,55_3,2021,s,initiation,cannibal,0,3,t60,11.69,61.4,47.4,590,378.33,19.99,0,FALSE,10.0599,0,FALSE,6.6349,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
CB341_21,CN,67.8,high,914031,BQ,634,83,83_3,2021,s,initiation,cannibal,0,3,t0,10.72,3.25,47.4,590,378.33,18.67,0,FALSE,6.4867,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
CB433_21,CO,64.3,high,563915,AW,253,114,114_3,2021,s,one month,cannibal,0,34,t0,10.74,1.55,42.7,510,450.32,0.2,1,TRUE,1,1,TRUE,1.4721,0,1,FALSE,0.8,1,TRUE,7,1,3,2022
CB433_21,CO,64.3,high,563915,AW,253,153,153_3,2021,s,initiation,cannibal,0,1,t0,10.15,1.88,42.5,420,376.22,4.78,0,FALSE,3.2953,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,15,1,3,2022
